ignore_uncommon False
include_pdbs
##########
1p2xA 159
1xg0C 174
3g3zA 142
3rf0A 199
4i5jA 266
2ptrA 454
3f0cA 193
4a5uB 80
2p57A 124
2q0oC 86
6er6A 88
1h32A 261
3e3vA 154
3cxbA 302
1dvoA 152
5dicA 115
2bnmA 194
4pfoA 755
2ebfX 711
3giaA 433
1a41A 221
3cexA 170
4ebbA 450
3jrtA 166
3wfdB 449
4v1gA 85
3qb9A 159
3abhA 288
3nvoA 250
2o1kA 43
5x56A 103
2ra1A 412
4adzA 90
2p6vA 97
3k4iA 202
4lctA 318
4adyA 849
4zhbA 104
4p6zG 587
4nq0A 254
3dadA 324
2vq2A 220
4dloA 351
2of3A 266
4y5jA 227
2pm7A 345
2hr2A 156
3ro3A 159
3bqoA 202
3ut4A 128
2yhcA 209
4k6jA 497
3iisM 151
5agdA 333
2fbaA 492
3e7jA 743
1v7wA 779
3a0oA 764
4wu0A 360
4ozwA 334
4cj0A 534
1gxmA 324
5m7yA 425
4fnvA 659
5gzkA 418
4ayoA 434
3wkgA 410
3vsnA 632
2jg0A 507
4j5tA 788
4ktpA 767
4mqwA 88
5lf2A 302
5mriA 662
5ol4B 122
1bx7A 51
3ca7A 50
3tvjA 83
3tbdA 331
1uzkA 152
5bq8A 104
3klkA 1006
1b8kA 90
1v6pA 62
4hquA 95
4k8wA 118
6a2qA 98
1lpbA 85
3hrzB 233
6fmeB 505
2aydA 76
2ra8A 351
4fzqA 79
3d4uB 74
3wwlA 54
2r01A 195
1lslA 113
3f3fC 475
2q4zA 307
2de6A 389
3d9xA 114
2hjeA 210
3mcbB 58
2y8nB 86
3witA 64
1ya5T 89
2dyiA 162
3kyfA 231
2v76A 99
2e12A 93
1g3pA 192
4o06A 102
3fb9A 89
2p38A 155
1igqA 54
4hhvA 103
3teeA 206
5j3tA 126
5h3xA 267
3zbdA 110
5d7uA 53
5zcjC 121
5u1mA 105
1wthD 361
4rg1A 286
1kt6A 175
2ja9A 175
1i4uA 181
4i86A 102
1o7iA 115
1x8qA 184
2ichA 320
3dzmA 208
3n91A 315
1luzA 85
4lqzA 131
4i1kA 118
5xlyB 121
3a35A 184
3tdqA 86
4mxtA 187
3wjtA 178
3buuA 224
3ksnA 177
2w7qA 192
2yzyA 163
4z48A 240
3bk5A 235
4qa8A 210
2byoA 183
3bmzA 185
4egdA 221
4joxA 118
3h6jA 438
2bhuA 580
1pmhX 183
6ggrA 168
4dqaA 349
4v2bA 106
4weeA 135
2w07B 121
4r9pA 210
2r2cA 121
2r0hA 160
4aqoA 86
4luqC 123
3iagC 422
1k5nA 276
2ygnA 146
3bwzA 171
4fmrA 234
1njhA 108
4hi6A 138
1pkhA 182
1gp0A 133
3q1nA 294
2ag4A 164
2v3iA 434
3ty1A 384
1gprA 158
3aihA 110
4c4aA 642
1tulA 102
4a02A 166
4c08A 325
4maiA 187
1jovA 269
3wmvA 150
2fdbM 149
1dqgA 134
1xzzA 216
6i18A 484
4i4oA 146
4efpA 235
5yh4A 179
3h6qA 168
5bowA 151
5vi4A 146
2vxtI 156
3vwcA 146
4lo0C 144
1sr4C 154
2dpfA 111
3dzwA 109
3a0eA 110
1xd5A 112
4h3oA 105
4tkcA 118
5j76A 109
3mezC 110
4gc1A 275
1b2pA 119
4le7A 254
4oitA 106
6b0gE 154
1z1yB 175
1vmoA 163
2gudA 121
4r6rE 133
5krpC 150
5v6fA 137
4pitA 140
6flwA 144
1ouwA 149
4ddnD 154
3apaA 138
5gvyA 145
1c3mA 145
4mq0A 438
3wocA 138
3aqgA 133
3towA 152
2qp2A 498
1nykA 156
2bmoA 437
2gbwA 449
1rfsA 127
4aivA 113
3gkeA 340
2nwfA 141
1jm1A 202
2qpzA 103
5cxmB 99
3gzxA 440
3dqyA 106
3d89A 136
2b1xA 441
4qdcA 369
2q3wA 109
3c7xA 196
1genA 200
1itvA 195
1pexA 192
3s18A 224
4rt6B 172
3cu9A 314
3wasA 389
6ms3B 511
6frwA 411
3k1uA 314
5aycA 386
5c0pA 284
4n1iA 312
3r4zA 358
1tl2A 235
4u6dA 382
1oygA 440
4qqsA 312
3qz4A 306
5a8cA 299
4pvaA 328
3kstA 291
5flwA 302
6gy5A 285
1cruA 448
1suuA 293
3o4pA 314
2p4oA 302
4mzaA 432
5gtqA 307
3dr2A 299
3dasA 334
3g4eA 297
2fp8A 302
5hx0B 364
1npeA 263
1s1dA 317
2zwaA 673
3a72A 353
2zb6A 427
3scyA 356
3b7fA 368
3al9A 516
3o4hA 576
4pxwA 292
4wk0A 449
2w18A 306
5em2A 357
1sq9A 378
1xipA 367
4h5iA 344
1jofA 365
1xksA 374
5ic7A 340
5k19A 376
6e1zA 307
2z2nA 293
6e4lA 358
6fkwA 576
6damA 563
1flgA 582
4cvbA 562
4mh1A 509
1z68A 719
2z3zA 651
4q1vA 707
1xfdA 723
5d7wA 469
1kapP 470
3laaA 169
1p9hA 179
3ultA 114
3s6lA 155
2xqhA 258
4dt5A 143
5m5zA 755
5lw3A 381
1k5cA 333
1k4zA 157
2ntpA 342
3bh7B 314
2j8kA 181
2vfoA 555
3n6zA 339
1hf2A 196
2x3hB 498
1rmgA 422
6mfkA 210
1l0sA 88
2xt2A 197
5nzgA 482
3kweA 166
2w7zA 207
3ng9A 520
1lktA 104
3facA 109
3pyiB 143
2casA 548
1gppA 217
3maoA 105
1ut7A 147
4jzzA 336
1hxrA 107
1t61A 223
4qjvA 259
3lywA 86
3dalA 179
5hqhA 96
3u7zA 97
3r90A 185
1tp6A 126
3s9xA 159
2ex5A 207
3gbyA 127
5kvbA 146
2cu3A 63
1c1yB 77
5f6rA 173
4a6qA 143
2w56A 143
4lqbA 130
4oobA 245
3oajA 310
3n8bA 75
3jumA 157
2prxA 114
5b1rA 116
1ewfA 456
4m4dA 448
2obdA 472
6baqA 196
1usuB 132
3e8tA 216
3aotA 203
2rckA 221
3l6iA 171
3uv1A 190
3bqwA 347
5mprA 364
1kkoA 411
4cd8A 313
1vd6A 218
2g0wA 275
4lanA 370
3s83A 256
2v3gA 273
3fkrA 304
4z0gA 384
3sggA 512
5zjbA 232
2xfrA 487
4g8tA 441
5n6fA 365
1muwA 386
2qhqA 120
3eunA 81
3h35A 144
3kluA 119
3fn2A 97
2od6A 110
1kcfA 240
3nlcA 534
2zw2A 85
4ftxA 158
3u2aA 112
2hiqA 96
1xkpC 126
6ih0A 267
5c12A 230
1w4rA 174
3c0fB 85
3nbmA 104
2r6zA 225
5hxdA 237
1chdA 198
3do8A 135
3gohA 297
1n0eA 141
2q82A 114
5kxhA 350
3oqiA 222
2x4lA 298
3d3kA 233
3l46A 90
2fkcA 247
5jphA 142
3nytA 359
3rhtA 252
3dkrA 241
2psbA 290
1tc5A 187
3vrdB 400
2je3A 157
3g5sA 424
1jkeA 145
4at0A 483
1vi4A 162
4u8pC 505
4ntcA 325
5ipyA 445
5nakA 452
4z24B 649
4opcA 452
5cdkA 181
2b0aA 186
4n2pA 143
1j5uA 127
1vzyB 286
1vq0A 290
4ipuA 137
4dq9A 149
4jtmA 81
3gs9A 326
3adyA 102
3mi0A 215
3ib7A 295
3g91A 260
1vr7A 120
4zx2A 325
1ds1A 323
3zwfA 259
1hq0A 295
3hbcA 309
3p8kA 268
4ya2H 222
1wraA 305
3t91A 210
3c9fA 531
2imhA 226
1um0A 365
5y0mA 329
5u4hA 420
1ejdA 419
3zh4A 411
3swgA 417
5ujsA 417
3nvsA 426
2o0bA 424
2pqcA 445
3slhA 436
1rf6A 427
4n3pA 424
5bufA 445
3rmtA 432
4fqdA 436
1ud9A 242
1t6lA 249
1rwzA 244
3ifvA 216
1iz5A 240
3lx2A 247
1u7bA 251
5tupA 254
5h0tA 248
5v7mA 255
3fdsC 249
3aizA 248
1b77A 228
3p91A 245
1dmlA 267
3hslX 287
2z0lA 299
6nibA 345
2jerA 366
1xknA 353
1zbrA 339
3hvmA 330
1jdwA 360
5wpiA 364
1g61A 225
1h70A 255
5m3qA 224
1ynfA 429
3wn4A 747
1io0A 166
4rcaB 241
4fcgA 296
4ecoA 620
3wpcA 747
4im6A 198
4cnmA 283
5hzlB 280
4fs7A 383
2xwtC 234
3e4gA 176
4wp6A 151
5il7A 440
1z7xW 460
4u7lA 455
6fg8A 188
2wfhA 181
2fy7A 268
5wwdA 139
1j3aA 129
1omzA 253
3emfA 113
1xw3A 110
3h4rA 219
3essA 199
1o22A 149
4ktbA 160
1jh6A 181
3n08A 151
5tsqA 312
3e9vA 120
4j7hA 446
1i4jA 110
2wnfA 272
3v1aA 48
3coqA 89
2f60K 60
4zgmA 100
1i7wB 51
6g6kA 89
1pbyC 79
1a92A 50
3alrA 63
2wjvD 54
2a26A 48
1devB 41
4l0nA 51
4ayaA 59
3zxcA 71
4pkfB 69
2b1yA 101
5y5sQ 491
4dncD 42
4jpnA 75
4e18B 46
3vepX 46
3v4yB 41
1xawA 107
1ykhA 95
2p64A 51
6bscB 48
2z3xA 56
4uzzB 65
3thfA 175
1wq6A 59
4ke2A 196
4lhfA 79
2v66B 111
3lczA 53
2h4oA 62
4wjwA 68
3kvpA 43
3e56A 75
3bk3C 67
2ds5A 43
3zoqB 48
3nfgB 120
4ksnA 65
3ua0A 79
3nrtA 93
4a9aC 106
6hikL 40
